ID_Candidato,Nombre,Biografia,Tiene_Renuncia,Observaciones
COSTANTINO SERGIO,"Costantino, Sergio",EN CONSTRUCCION,NO,
CULOTTA MARCELO,"Culotta, Marcelo",EN CONSTRUCCION,NO,
AGOTE MANUEL,"Agote, Manuel","Abogado (UTDT), especializado en derecho comercial . Durante muchos años fue parte de la agrupación ""De Boedo Vengo"". Militando durante años la vuelta a Boedo. En 2016 impulsó reformas en el estatuto blindando al club contra la aparición de las sociedades anónimas deportivas. En 2022, Luego de años de militancia política en DBV, Manuel decidió alejarse de la agrupación, En ese mismo año organizó varias marchas contra la comisión directiva liderada por Horacio Arreceygor exigiendo elecciones anticipadas y marchas al Ministerio de Turismo y a la Vinería de Matías Lammens. Tambien fue parte del entramado político de ""Somos San Lorenzo"" del cual salió junto con otros referentes por discrepancias al momento de integrar a nuevos actores políticos a la lista. En 2023 Manuel formó Movete Boedo Movete del cual es considerado el lider. En 2024 Llevó a la justicia y sancionando a los miembros de la comisión directiva 2019-2023 por irregularidades en la gestión, siendo sancionados a finales de 2024.

En 2025 participó por primera vez de una elección, como candidato a presidente en una de las listas de la Asamblea Extraordinaria de Diciembre de 2025.",NO,
CESAR FRANCIS,"Francis, Cesar","Abogado (UBA) y periodista (ISER). Secretario de la Asociación Argentina de Tenis. Ha participación en procesos de salvataje de varios clubes del ascenso tales como Deportivo Español, Comunicaciones y Atlanta. Fue uno de los redactores de la ley de quiebras y entidades deportivas en el 2000. En la Legislatura porteña fue Director General de la Comisión de Turismo y Deporte y participó en leyes clave como la restitución histórica de Avenida La Plata para San Lorenzo. En 2012 ""fundó Volver a San Lorenzo"". Entre 2013 y 2016 fue vocal opositor, y en 2016 fue electo nuevamente como vocal opositor. Aunque tuvo que recurrir a la Inspección General de Justicia para poder asumir su lugar, el cual recién pudo ocupar a principios de 2019. En 2019 volvió a ser electo como vocal opositor (y único).",NO,
NICOLAS PAPASSO,"Papasso, Nicolas",EN CONSTRUCCION,NO,
CIPRIANO POMMIES,"Pommies, Cipriano","Uno de los productores arroceros mas grandes de la Argentina, tambien ligado al rubro agrupecuario. Fue candidato a presidente por la agrupación ""Siempre San Lorenzo"" en 2022. Actualmente es vocal de la comisión directiva y candidato a vice-presidente por ""San Lorenzo en Marcha""",NO,
CAMPOS JUAN MANUEL,"Campos, Juan Manuel","Dueño de la empresa Armaduras Argentinas SRL. Egresado de la UNCALP. Referente de ""Todo x San Lorenzo"". Actual candidato a vicepresidente por ""Orden y Progreso""",NO,
BITTA DELLA LEONARDO,"Della Bitta, Leonardo","Ingeniero industrial (UBA). Empresario metalúrgico, titular de DELLA BITTA SRL, de una de las principales fábricas de ascensores del país. Asesor en el Ministerio de Desarrollo de la Comunidad de la Provincia de Buenos Aires. Referente de la Agrupación Mística Solidaria. Fue candidato a vocal de Movete Boedo Movete en la Asamblea Extraordinaria del 22 de Diciembre de 2025",NO,
DANIEL DE FLORIAN,"De Florian, Daniel","Científico reconocido a nivel mundial, doctor en Física, especializado en físicas de altas energias y la física en el bosón de Higgs en el gran colisionador de hadrones (LHC). Trabaja en varias universidades de la Argentina. 

Tuvo una pequeña participación en política nacional el año pasado en la lista de Juan Manuel Abal Medina. Fue parte de la lista que presentó Cesar Francis en la asamblea de 2025.                  Premios:
2023. Premio Konex de Platino en la disciplina Física y Astronomía
2020. Miembro Titular de la Academia Nacional de Ciencias Exactas, Físicas y Naturales
2018. Miembro de la Academia de Ciencias de América Latina (ACAL) 
2017. Mención de Honor al valor Científico del Senado de la Nación 
2016. Premio Von Humboldt Research de la Fundación Alexander von Humboldt.
2014. Premio de la Academia Mundial de Ciencias (TWAS) en Física.
2008-2009. Fellow de la Fundación Guggenheim.
2008. Beller Lectureship, otorgado por la American Physical Society (Sociedad Física de Estados
Unidos)
2007. Premio Juan José Giambiagi, en Física, otorgado por la Academia de Ciencias de
Argentina.
2005. Premio Bernardo Houssay al investigador joven, otorgado por la Secretaría de Ciencia y
Tecnología (SeCyT).",NO,
ANGEL GRAS,"Gras, Angel",Gestor cultural. 30 años empresario teatral. Ex director general de Cultura y Museo de la camara de diputados de la nacion. Ex Embajador Cultural Argentino en Mondiacult (UNESCO).,NO,
EZEQUIEL SABOR,"Sabor, Ezequiel","Contador Público (UBA) y Magíster en Economía y Ciencias Políticas (ESEADE). Funcionario con casi 10 años en el GCBA. Secretario de trabajo y Embajador Argentino en México y Belice durante el gobierno de Mauricio Macri. Actual Secretario de Gobierno y Vinculo Ciudadano. Fue candidato a Fiscalizador por Nuevo San Lorenzo (2010), Formó parte de la comisión directiva transitoria de 2012 y fue candidato a vocal por ""X Amor a San Lorenzo"" (2023). Es vocal de comisión directiva y encargado del Tenis. Tambien es candidato a primer vocal por San Lorenzo en Marcha",NO,
BAUTISTA CASTAGNA JUAN,"Castagna, Juan Bautista",Uno de los fundadores de Orden y Progreso. Abogado (UM). Ejecutivo de cuentas y ventas en el Grupo SALIM,NO,
LUCIA ROJAS,"Rojas, Lucia","Licenciada en gestión de políticas públicas (UNTREF). Militante política, delegada sindical en UPCN SENAF. Ex integrante de San Lorenzo Feminista. Asambleista por San Lorenzo Siglo XXI (2019-2023). Rápidamente tomó distancia con el oficialismo y votó en contra los balances de esa gestión. Desde 2023 colabora con Manuel Agote en Movete Boedo Movete",NO,
FERRERA JORGE OMAR,"Ferrera, Jorge Omar","Corredor inmobiliario y administrador de propiedades. Participo como candiato a vocal en 2025, 2023 y 2022. Y Como asambleista en el 2019",NO,
MATIAS NOVAL,"Noval, Matias",Contador publico (UBA). Asesor economico. Candidato a Vicepresidente por la lista de Quique Ronzoni en 2022.,NO,
DIEGO MEJUTO,"Mejuto, Diego",EN CONSTRUCCION,NO,
ARIEL DEAN,"Dean, Ariel","Subdirector de la subdirección de Comunicación y Prensa de la Administración General de Puertos, dependiente del ministerio de transporte. Consultor en comunicación política e institucional. Referente de ""Actitud San Lorenzo"" Actual miembro de la comisión fiscalizadora de San Lorenzo (2023-2027). actual candidato a vocal por ""Orden y Progreso""",NO,
