ID_Candidato,Nombre,Año,Agrupacion,Categoria,Cargo,Electo
COSTANTINO SERGIO,"COSTANTINO, SERGIO",2026,San Lorenzo en Marcha,Comisión Directiva,Presidente,NO
COSTANTINO SERGIO,"COSTANTINO, SERGIO",2025,X Amor a San Lorenzo,Comisión Directiva,Presidente,SI
COSTANTINO SERGIO,"COSTANTINO, SERGIO",2023,X Amor a San Lorenzo,Comisión Directiva,Presidente,SI
COSTANTINO SERGIO,"COSTANTINO, SERGIO",2022,San Lorenzo Querido,Comisión Directiva,Presidente,NO
COSTANTINO SERGIO,"COSTANTINO, SERGIO",2019,San Lorenzo Siglo XXI,Comisión Directiva,Vocal 2,SI
COSTANTINO SERGIO,"COSTANTINO, SERGIO",2016,San Lorenzo Siglo XXI,Comisión Directiva,Vocal 6,SI
COSTANTINO SERGIO,"COSTANTINO, SERGIO",2013,San Lorenzo Siglo XXI,Comisión Directiva,Vocal 6,SI
COSTANTINO SERGIO,"COSTANTINO, SERGIO",2012 (EXTRAORDINARIA),San Lorenzo Siglo XXI,Comisión Directiva,,SI
COSTANTINO SERGIO,"COSTANTINO, SERGIO",2010,Vamos San Lorenzo,Comisión Directiva,,SI
CULOTTA MARCELO,"CULOTTA, MARCELO",2026,Primero San Lorenzo,Comisión Directiva,Presidente,NO
CULOTTA MARCELO,"CULOTTA, MARCELO",2023,Orden y Progreso,Comisión Directiva,Presidente,SI
CULOTTA MARCELO,"CULOTTA, MARCELO",2016,Cruzada por San Lorenzo,Comisión Directiva,Vocal 1,SI
CULOTTA MARCELO,"CULOTTA, MARCELO",2013,Cruzada por San Lorenzo,Comisión Directiva,Vocal 1,SI
CULOTTA MARCELO,"CULOTTA, MARCELO",2012 (EXTRAORDINARIA),Cruzada por San Lorenzo,Comisión Directiva,,SI
CULOTTA MARCELO,"CULOTTA, MARCELO",2010,Cruzada por San Lorenzo,Comisión Directiva,,NO
AGOTE MANUEL,"AGOTE, MANUEL",2026,Movete Boedo Movete,Comisión Directiva,Presidente,NO
AGOTE MANUEL,"AGOTE, MANUEL",2025,Movete Boedo Movete,Comisión Directiva,Presidente,NO
CESAR FRANCIS,"FRANCIS, CESAR",2026,Volver a San Lorenzo,Comisión Directiva,Presidente,NO
CESAR FRANCIS,"FRANCIS, CESAR",2025,Volver a San Lorenzo,Comisión Directiva,Presidente,NO
CESAR FRANCIS,"FRANCIS, CESAR",2023,Volver a San Lorenzo,Comisión Directiva,Presidente,NO
CESAR FRANCIS,"FRANCIS, CESAR",2022,Volver a San Lorenzo,Comisión Directiva,Presidente,NO
CESAR FRANCIS,"FRANCIS, CESAR",2019,Volver a San Lorenzo,Comisión Directiva,Presidente,SI
CESAR FRANCIS,"FRANCIS, CESAR",2013,Volver a San Lorenzo,Comisión Directiva,Presidente,SI
CESAR FRANCIS,"FRANCIS, CESAR",2016,Volver a San Lorenzo,Comisión Directiva,,SI
NICOLAS PAPASSO,"PAPASSO, NICOLAS",2026,Nueva Generacion,Comisión Directiva,Presidente,NO
NICOLAS PAPASSO,"PAPASSO, NICOLAS",2022,Renovacion San Lorencista,Comisión Directiva,Vocal 10,NO
NICOLAS PAPASSO,"PAPASSO, NICOLAS",2023,Renovacion San Lorenzo,Comisión Directiva,Vocal 10,NO
CIPRIANO POMMIES,"POMMIES, CIPRIANO",2026,San Lorenzo en Marcha,Comisión Directiva,Vice,NO
CIPRIANO POMMIES,"POMMIES, CIPRIANO",2025,X Amor a San Lorenzo,Comisión Directiva,Vocal 11,SI
CIPRIANO POMMIES,"POMMIES, CIPRIANO",2022,Siempre San Lorenzo,Comisión Directiva,Presidente,NO
CIPRIANO POMMIES,"POMMIES, CIPRIANO",2023,Siempre San Lorenzo,Comisión Directiva,Presidente,NO
CAMPOS JUAN MANUEL,"CAMPOS, JUAN MANUEL",2026,Primero San Lorenzo,Comisión Directiva,Vice-Presidente,NO
BITTA DELLA LEONARDO,"DELLA BITTA, LEONARDO",2026,Movete Boedo Movete,Comisión Directiva,Vice-Presidente,NO
BITTA DELLA LEONARDO,"DELLA BITTA, LEONARDO",2025,Movete Boedo Movete,Comisión Directiva,Vocal 1,NO
DANIEL DE FLORIAN,"DE FLORIAN, DANIEL",2026,Volver a San Lorenzo,Comisión Directiva,Vice-Presidente,NO
DANIEL DE FLORIAN,"DE FLORIAN, DANIEL",2025,Volver a San Lorenzo,Comisión Directiva,Vocal 9,NO
ANGEL GRAS,"GRAS, ANGEL",2026,Nueva Generacion,Comisión Directiva,Vice-Presidente,NO
ANGEL GRAS,"GRAS, ANGEL",2022,Renovacion San Lorencista,Asamblea,3,NO
ANGEL GRAS,"GRAS, ANGEL",2023,Renovacion San Lorenzo,Asamblea,3,NO
EZEQUIEL SABOR,"SABOR, EZEQUIEL",2026,San Lorenzo en Marcha,Comisión Directiva,Vocal 1,NO
EZEQUIEL SABOR,"SABOR, EZEQUIEL",2025,X Amor a San Lorenzo,Comisión Directiva,Vocal 10,SI
EZEQUIEL SABOR,"SABOR, EZEQUIEL",2023,X Amor a San Lorenzo,Comisión Directiva,Vocal 4,NO
EZEQUIEL SABOR,"SABOR, EZEQUIEL",2010,Nuevo San Lorenzo,Asamblea,2,NO
EZEQUIEL SABOR,"SABOR, EZEQUIEL",2012 (ASAMBLEA),Transitoria,Comisión Directiva,,SI
EZEQUIEL SABOR,"SABOR, EZEQUIEL",2010,Nuevo San Lorenzo,Fiscalizadora,,NO
BAUTISTA CASTAGNA JUAN,"CASTAGNA, JUAN BAUTISTA",2026,Primero San Lorenzo,Comisión Directiva,Vocal 1,NO
BAUTISTA CASTAGNA JUAN,"CASTAGNA, JUAN BAUTISTA",2023,Orden y Progreso,Comisión Directiva,Vocal 3,NO
LUCIA ROJAS,"ROJAS, LUCIA",2026,Movete Boedo Movete,Comisión Directiva,Vocal 1,NO
LUCIA ROJAS,"ROJAS, LUCIA",2025,Movete Boedo Movete,Comisión Directiva,Vocal 3,NO
LUCIA ROJAS,"ROJAS, LUCIA",2019,San Lorenzo Siglo XXI,Asamblea,43,SI
FERRERA JORGE OMAR,"FERRERA, JORGE OMAR",2026,Volver a San Lorenzo,Comisión Directiva,Vocal 1,NO
FERRERA JORGE OMAR,"FERRERA, JORGE OMAR",2025,Volver a San Lorenzo,Comisión Directiva,Vocal 12,NO
FERRERA JORGE OMAR,"FERRERA, JORGE OMAR",2023,Volver a San Lorenzo,Comisión Directiva,Vocal 9,NO
FERRERA JORGE OMAR,"FERRERA, JORGE OMAR",2022,Volver a San Lorenzo,Comisión Directiva,Vocal 7,NO
FERRERA JORGE OMAR,"FERRERA, JORGE OMAR",2019,Volver a San Lorenzo,Asamblea,8,NO
MATIAS NOVAL,"NOVAL, MATIAS",2026,Nueva Generacion,Comisión Directiva,Vocal 1,NO
MATIAS NOVAL,"NOVAL, MATIAS",2022,Renovacion San Lorencista,Comisión Directiva,Vice-Presidente,NO
MATIAS NOVAL,"NOVAL, MATIAS",2023,Renovacion San Lorenzo,Comisión Directiva,Vice-Presidente,NO
DIEGO MEJUTO,"MEJUTO, DIEGO",2026,San Lorenzo en Marcha,Comisión Directiva,Vocal 2,NO
DIEGO MEJUTO,"MEJUTO, DIEGO",2022,Siempre San Lorenzo,Comisión Directiva,Vocal 2,NO
DIEGO MEJUTO,"MEJUTO, DIEGO",2023,Siempre San Lorenzo,Comisión Directiva,Vocal 2,NO
ARIEL DEAN,"DEAN, ARIEL",2026,Primero San Lorenzo,Comisión Directiva,Vocal 2,NO
