Row 2: [Col 1: ] | [Col 2: ] | [Col 3: ] | [Col 4: ELECCIONES EXTRAORDINARIAS - MAYO DE 2026] | [Col 5: ELECCIONES EXTRAORDINARIAS - MAYO DE 2026] | [Col 6: ELECCIONES EXTRAORDINARIAS - MAYO DE 2026] | [Col 7: ELECCIONES EXTRAORDINARIAS - MAYO DE 2026] | [Col 8: ELECCIONES EXTRAORDINARIAS - MAYO DE 2026] | [Col 9: ELECCIONES EXTRAORDINARIAS - MAYO DE 2026] | [Col 10: ] | [Col 11: ] | [Col 12: ] | [Col 13: ] | [Col 14: ] | [Col 15: ]
Row 3: [Col 1: ] | [Col 2: ] | [Col 3: ] | [Col 4: ] | [Col 5: CANDIDATOS] | [Col 6: CANDIDATOS] | [Col 7: CANDIDATOS] | [Col 8: ] | [Col 9: ] | [Col 10: ] | [Col 11: ] | [Col 12: ] | [Col 13: ] | [Col 14: ] | [Col 15: ]
Row 4: [Col 1: ] | [Col 2: ] | [Col 3: ] | [Col 4: AGRUPACION] | [Col 5: PRESIDENTE] | [Col 6: VICE] | [Col 7: VICE 2°/VOCAL 1] | [Col 8: VOTOS] | [Col 9: PORCENTAJE] | [Col 10: ] | [Col 11: ] | [Col 12: ] | [Col 13: ] | [Col 14: ] | [Col 15: ]
Row 5: [Col 1: ] | [Col 2: ] | [Col 3: 1] | [Col 4: Orden y Progreso Sanlorencista] | [Col 5: Marcelo Culotta] | [Col 6: Juan Manuel Campos] | [Col 7: Juan Bautista Castagna] | [Col 8: 4110] | [Col 9: {FormulaResult: 0.2982150631}] | [Col 10: ] | [Col 11: ] | [Col 12: ] | [Col 13: ] | [Col 14: ] | [Col 15: ]
Row 6: [Col 1: ] | [Col 2: ] | [Col 3: 2] | [Col 4: San Lorenzo en Marcha] | [Col 5: Sergio Costantino] | [Col 6: Cipiano Pommies] | [Col 7: Ezequiel Sabor] | [Col 8: 3284] | [Col 9: {FormulaResult: 0.2382818169}] | [Col 10: ] | [Col 11: ] | [Col 12: ] | [Col 13: ] | [Col 14: ] | [Col 15: ]
Row 7: [Col 1: ] | [Col 2: ] | [Col 3: 3] | [Col 4: Volver a San Lorenzo] | [Col 5: Cesar Francis] | [Col 6: Daniel de Florian] | [Col 7: Jorge Omar Ferrera] | [Col 8: 3249] | [Col 9: {FormulaResult: 0.2357422725}] | [Col 10: ] | [Col 11: ] | [Col 12: ] | [Col 13: ] | [Col 14: ] | [Col 15: ]
Row 8: [Col 1: ] | [Col 2: ] | [Col 3: 4] | [Col 4: Movete Boedo Movete] | [Col 5: Manuel Agote] | [Col 6: Leonardo Della Bitta] | [Col 7: Lucia Rojas] | [Col 8: 2511] | [Col 9: {FormulaResult: 0.1821941663}] | [Col 10: ] | [Col 11: ] | [Col 12: ] | [Col 13: ] | [Col 14: ] | [Col 15: ]
Row 9: [Col 1: ] | [Col 2: ] | [Col 3: 5] | [Col 4: Nueva Generacion] | [Col 5: Nicolas Papasso] | [Col 6: Angel Gras] | [Col 7: Matias Noval] | [Col 8: 595] | [Col 9: {FormulaResult: 0.04317225366}] | [Col 10: ] | [Col 11: ] | [Col 12: ] | [Col 13: ] | [Col 14: ] | [Col 15: ]
Row 10: [Col 1: ] | [Col 2: ] | [Col 3: ] | [Col 4: VOTOS EN BLANCO/NULOS] | [Col 5: VOTOS EN BLANCO/NULOS] | [Col 6: VOTOS EN BLANCO/NULOS] | [Col 7: VOTOS EN BLANCO/NULOS] | [Col 8: 33] | [Col 9: {FormulaResult: 0.002394427514}] | [Col 10: ] | [Col 11: ] | [Col 12: ] | [Col 13: ] | [Col 14: ] | [Col 15: ]
Row 11: [Col 1: ] | [Col 2: ] | [Col 3: ] | [Col 4: ] | [Col 5: TOTAL] | [Col 6: TOTAL] | [Col 7: TOTAL] | [Col 8: {FormulaResult: 13782}] | [Col 9: {FormulaResult: 1}] | [Col 10: ] | [Col 11: ] | [Col 12: ] | [Col 13: ] | [Col 14: ] | [Col 15: ]
Row 12: [Col 1: ] | [Col 2: ] | [Col 3: ] | [Col 4: ] | [Col 5: PADRON DE SOCIOS] | [Col 6: PADRON DE SOCIOS] | [Col 7: PADRON DE SOCIOS] | [Col 8: 42146] | [Col 9: {FormulaResult: 0.3270061216}] | [Col 10: ] | [Col 11: ] | [Col 12: ] | [Col 13: ] | [Col 14: ] | [Col 15: ]
Row 13: [Col 1: ] | [Col 2: ] | [Col 3: ] | [Col 4: ] | [Col 5: ASAMBLEA EXTRAORDINARIA - DICIEMBRE 2025] | [Col 6: ASAMBLEA EXTRAORDINARIA - DICIEMBRE 2025] | [Col 7: ASAMBLEA EXTRAORDINARIA - DICIEMBRE 2025] | [Col 8: ] | [Col 9: ] | [Col 10: ] | [Col 11: ] | [Col 12: ] | [Col 13: ] | [Col 14: ] | [Col 15: ]
Row 14: [Col 1: ] | [Col 2: ] | [Col 3: ] | [Col 4: ] | [Col 5: CANDIDATOS] | [Col 6: CANDIDATOS] | [Col 7: CANDIDATOS] | [Col 8: ] | [Col 9: ] | [Col 10: ] | [Col 11: ] | [Col 12: ] | [Col 13: ] | [Col 14: ] | [Col 15: ]
Row 15: [Col 1: ] | [Col 2: ] | [Col 3: 1] | [Col 4: AGRUPACION] | [Col 5: PRESIDENTE] | [Col 6: VICE] | [Col 7: VICE 2°/VOCAL 1] | [Col 8: VOTOS] | [Col 9: PORCENTAJE] | [Col 10: ] | [Col 11: ] | [Col 12: ] | [Col 13: ] | [Col 14: ] | [Col 15: ]
Row 16: [Col 1: ] | [Col 2: ] | [Col 3: 2] | [Col 4: x Amor a San Lorenzo] | [Col 5: Sergio Costantino] | [Col 6: Valeria Carta Moglietta] | [Col 7: Marcelo Vazquez] | [Col 8: 35] | [Col 9: {FormulaResult: 0.5072463768}] | [Col 10: ] | [Col 11: ] | [Col 12: ] | [Col 13: ] | [Col 14: ] | [Col 15: ]
Row 17: [Col 1: ] | [Col 2: ] | [Col 3: 3] | [Col 4: Revolucion Azulgrana] | [Col 5: Matias Lammens] | [Col 6: Alejandro Cambas] | [Col 7: Guillermo Mangone] | [Col 8: 31] | [Col 9: {FormulaResult: 0.4492753623}] | [Col 10: ] | [Col 11: ] | [Col 12: ] | [Col 13: ] | [Col 14: ] | [Col 15: ]
